DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y11,F,BE,2022,67594,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y11,M,BE,2011,61872,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y11,M,BE,2012,63166,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y11,M,BE,2013,62114,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y11,M,BE,2014,61514,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y11,M,BE,2015,62145,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y11,M,BE,2016,64371,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y11,M,BE,2017,65535,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y11,M,BE,2018,66973,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y11,M,BE,2019,67890,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y11,M,BE,2020,70073,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y11,M,BE,2021,69912,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y11,M,BE,2022,70681,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y12,F,BE,2011,59745,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y12,F,BE,2012,59705,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y12,F,BE,2013,60519,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y12,F,BE,2014,60021,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y12,F,BE,2015,59012,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y12,F,BE,2016,59839,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y12,F,BE,2017,61433,
ESTAT:DEMO_PJAN(1.0),03/07/23 23:00:00,A,NR,Y12,F,BE,2018,62503,
