"","ATCCode","DateUsedForStatisticsYear","Sector","ReportQuarter","TOTAL_VOLUME","TOTAL_VOLUME_UNIT","TOTAL_DDD"
"83","A07AA06",2018,"HC",2,446420,"mg",148.806666666667
"84","A07AA06",2018,"HC",3,517625,"mg",172.541666666667
"85","A07AA06",2018,"HC",4,463842.5,"mg",154.614166666667
"86","A07AA06",2019,"AC",1,59115552.5,"mg",19705.1841666667
"87","A07AA06",2019,"AC",2,55619690,"mg",18539.8966666667
"88","A07AA06",2019,"AC",3,26853375,"mg",8951.125
"89","A07AA06",2019,"AC",4,50387637.5,"mg",16795.8791666667
"90","A07AA06",2019,"HC",1,470407.5,"mg",156.8025
"91","A07AA06",2019,"HC",2,531260,"mg",177.086666666667
"92","A07AA06",2019,"HC",3,344915,"mg",114.971666666667
"93","A07AA06",2019,"HC",4,321685,"mg",107.228333333333
"94","A07AA06",2020,"AC",1,49708917.5,"mg",16569.6391666667
"95","A07AA06",2020,"AC",2,36203955,"mg",12067.985
"96","A07AA06",2020,"AC",3,45223002.5,"mg",15074.3341666667
"97","A07AA06",2020,"AC",4,47709622.5,"mg",15903.2075
"98","A07AA06",2020,"HC",1,316382.5,"mg",105.460833333333
"99","A07AA06",2020,"HC",2,265125,"mg",88.375
"100","A07AA06",2020,"HC",3,434552.5,"mg",144.850833333333
"101","A07AA06",2020,"HC",4,405262.5,"mg",135.0875
"102","A07AA06",2021,"AC",1,46601905,"mg",15533.9683333333
"103","A07AA06",2021,"AC",2,45656292.5,"mg",15218.7641666667
"104","A07AA06",2021,"AC",3,49962680,"mg",16654.2266666667
"105","A07AA06",2021,"AC",4,53009345,"mg",17669.7816666667
"106","A07AA06",2021,"HC",1,230280,"mg",76.76
"107","A07AA06",2021,"HC",2,234067.5,"mg",78.0225
"108","A07AA06",2021,"HC",3,294920,"mg",98.3066666666667
"109","A07AA06",2021,"HC",4,259860,"mg",86.62
"110","A07AA10",2014,"HC",1,8606.25,"mg",1.53
"111","A07AA10",2014,"HC",4,27731.25,"mg",4.93
"112","A07AA10",2015,"HC",1,15300,"mg",2.72
"113","A07AA10",2015,"HC",3,269662.5,"mg",47.94
"114","A07AA10",2015,"HC",4,948600,"mg",168.64
"115","A07AA10",2016,"HC",1,1508371.875,"mg",268.155
"116","A07AA10",2016,"HC",2,1427887.5,"mg",253.846666666667
"117","A07AA10",2016,"HC",3,886275,"mg",157.56
"118","A07AA10",2016,"HC",4,1902271.875,"mg",338.181666666667
"119","A07AA10",2017,"HC",1,2138990.625,"mg",380.265
"120","A07AA10",2017,"HC",2,1500796.875,"mg",266.808333333333
"121","A07AA10",2017,"HC",3,1020731.25,"mg",181.463333333333
"122","A07AA10",2017,"HC",4,1390959.375,"mg",247.281666666667
"123","A07AA10",2018,"HC",1,338034.375,"mg",60.095
"124","A07AA10",2018,"HC",2,139190.625,"mg",24.745
"125","A07AA10",2018,"HC",3,111731.25,"mg",19.8633333333333
"126","A07AA11",2015,"HC",3,49896,"mg",83.16
"127","A07AA11",2015,"HC",4,360668,"mg",601.113333333333
"128","A07AA11",2016,"HC",1,766612,"mg",1277.68666666667
"129","A07AA11",2016,"HC",2,662200,"mg",1103.66666666667
"130","A07AA11",2016,"HC",3,979440,"mg",1632.4
"131","A07AA11",2016,"HC",4,920920,"mg",1534.86666666667
"132","A07AA11",2017,"HC",1,1158696,"mg",1931.16
"133","A07AA11",2017,"HC",2,673288,"mg",1122.14666666667
"134","A07AA11",2017,"HC",3,696080,"mg",1160.13333333333
"135","A07AA11",2017,"HC",4,973280,"mg",1622.13333333333
"136","A07AA11",2018,"AC",4,1586508,"mg",2644.18
"137","A07AA11",2018,"HC",1,1172556,"mg",1954.26
"138","A07AA11",2018,"HC",2,955416,"mg",1592.36
"139","A07AA11",2018,"HC",3,970508,"mg",1617.51333333333
"140","A07AA11",2018,"HC",4,1940779.5,"mg",3234.6325
"141","A07AA11",2019,"AC",1,12536524,"mg",20894.2066666667
"142","A07AA11",2019,"AC",2,17336599.5,"mg",28894.3325
"143","A07AA11",2019,"AC",3,21925585,"mg",36542.6416666667
"144","A07AA11",2019,"AC",4,26956748.5,"mg",44927.9141666667
"145","A07AA11",2019,"HC",1,4027270.5,"mg",6712.1175
"146","A07AA11",2019,"HC",2,3445200,"mg",5742
"147","A07AA11",2019,"HC",3,3731288,"mg",6218.81333333333
"148","A07AA11",2019,"HC",4,4220683.5,"mg",7034.4725
"149","A07AA11",2020,"AC",1,27008965.5,"mg",45014.9425
"150","A07AA11",2020,"AC",2,28969880.5,"mg",48283.1341666667
"151","A07AA11",2020,"AC",3,31392971.5,"mg",52321.6191666667
"152","A07AA11",2020,"AC",4,36620782,"mg",61034.6366666667
"153","A07AA11",2020,"HC",1,4748865,"mg",7914.775
"154","A07AA11",2020,"HC",2,3736287.5,"mg",6227.14583333333
"155","A07AA11",2020,"HC",3,5120599,"mg",8534.33166666667
"156","A07AA11",2020,"HC",4,3856836.5,"mg",6428.06083333333
"157","A07AA11",2021,"AC",1,31096334.5,"mg",51827.2241666667
"158","A07AA11",2021,"AC",2,33257785,"mg",55429.6416666667
"159","A07AA11",2021,"AC",3,31989023,"mg",53315.0383333333
"160","A07AA11",2021,"AC",4,40430401,"mg",67384.0016666667
"161","A07AA11",2021,"HC",1,3891833,"mg",6486.38833333333
"162","A07AA11",2021,"HC",2,4533435.5,"mg",7555.72583333333
"163","A07AA11",2021,"HC",3,4954504.5,"mg",8257.5075
"164","A07AA11",2021,"HC",4,4637952,"mg",7729.92
"165","A07AA12",2014,"HC",4,1428,"mg",3.57
"166","A07AA12",2015,"HC",2,4080,"mg",10.2
"167","A07AA12",2015,"HC",4,89760,"mg",224.4
"168","A07AA12",2016,"HC",1,145642,"mg",364.105
"169","A07AA12",2016,"HC",2,90294,"mg",225.735
"170","A07AA12",2016,"HC",3,88880,"mg",222.2
"171","A07AA12",2016,"HC",4,70700,"mg",176.75
"172","A07AA12",2017,"HC",1,87668,"mg",219.17
"173","A07AA12",2017,"HC",2,83628,"mg",209.07
"174","A07AA12",2017,"HC",3,62620,"mg",156.55
"175","A07AA12",2017,"HC",4,31916,"mg",79.79
"176","A07AA12",2018,"HC",1,51106,"mg",127.765
"177","A07AA12",2018,"HC",2,65246,"mg",163.115
"178","A07AA12",2018,"HC",3,71710,"mg",179.275
"179","A07AA12",2018,"HC",4,78780,"mg",196.95
"180","A07AA12",2019,"HC",1,89486,"mg",223.715
"181","A07AA12",2019,"HC",2,86254,"mg",215.635
"182","A07AA12",2019,"HC",3,75548,"mg",188.87
"183","A07AA12",2019,"HC",4,71508,"mg",178.77
"184","A07AA12",2020,"HC",1,83224,"mg",208.06
"185","A07AA12",2020,"HC",2,38380,"mg",95.95
"186","A07AA12",2020,"HC",3,61408,"mg",153.52
"187","A07AA12",2020,"HC",4,69690,"mg",174.225
"188","A07AA12",2021,"HC",1,41006,"mg",102.515
"189","A07AA12",2021,"HC",2,53328,"mg",133.32
"190","A07AA12",2021,"HC",3,71710,"mg",179.275
"191","A07AA12",2021,"HC",4,49776,"mg",124.44
"192","D01BA02",2012,"AC",1,420749490,"mg",1682997.96
"193","D01BA02",2012,"AC",2,519624210,"mg",2078496.84
"194","D01BA02",2012,"AC",3,515247390,"mg",2060989.56
"195","D01BA02",2012,"AC",4,440192725,"mg",1760770.9
"196","D01BA02",2012,"HC",1,1950495,"mg",7801.98
"197","D01BA02",2012,"HC",2,2279700,"mg",9118.8
"198","D01BA02",2012,"HC",3,2304690,"mg",9218.76
"199","D01BA02",2012,"HC",4,2172855,"mg",8691.42
"200","D01BA02",2013,"AC",1,413277480,"mg",1653109.92
"201","D01BA02",2013,"AC",2,506390220,"mg",2025560.88
"202","D01BA02",2013,"AC",3,512948310,"mg",2051793.24
"203","D01BA02",2013,"AC",4,433615175,"mg",1734460.7
"204","D01BA02",2013,"HC",1,1975425,"mg",7901.7
"205","D01BA02",2013,"HC",2,1925565,"mg",7702.26
"206","D01BA02",2013,"HC",3,2031330,"mg",8125.32
"207","D01BA02",2013,"HC",4,1860225,"mg",7440.9
"208","D01BA02",2014,"AC",1,427575330,"mg",1710301.32
"209","D01BA02",2014,"AC",2,511556010,"mg",2046224.04
"210","D01BA02",2014,"AC",3,484963080,"mg",1939852.32
"211","D01BA02",2014,"AC",4,435350790,"mg",1741403.16
"212","D01BA02",2014,"HC",1,1602930,"mg",6411.72
"213","D01BA02",2014,"HC",2,1713090,"mg",6852.36
"214","D01BA02",2014,"HC",3,2111145,"mg",8444.58
"215","D01BA02",2014,"HC",4,2260575,"mg",9042.3
"216","D01BA02",2015,"AC",1,426672120,"mg",1706688.48
"217","D01BA02",2015,"AC",2,512826165,"mg",2051304.66
"218","D01BA02",2015,"AC",3,497844660,"mg",1991378.64
"219","D01BA02",2015,"AC",4,437608815,"mg",1750435.26
"220","D01BA02",2015,"HC",1,2042550,"mg",8170.2
"221","D01BA02",2015,"HC",2,2075445,"mg",8301.78
"222","D01BA02",2015,"HC",3,2167500,"mg",8670
"223","D01BA02",2015,"HC",4,1629705,"mg",6518.82
"224","D01BA02",2016,"AC",1,421113440,"mg",1684453.76
"225","D01BA02",2016,"AC",2,524948510,"mg",2099794.04
"226","D01BA02",2016,"AC",3,513106260,"mg",2052425.04
"227","D01BA02",2016,"AC",4,443757945.75,"mg",1775031.783
"228","D01BA02",2016,"HC",1,1777095,"mg",7108.38
"229","D01BA02",2016,"HC",2,1996770,"mg",7987.08
"230","D01BA02",2016,"HC",3,2232352.5,"mg",8929.41
"231","D01BA02",2016,"HC",4,2063430,"mg",8253.72
"232","D01BA02",2017,"AC",1,425069357.5,"mg",1700277.43
"233","D01BA02",2017,"AC",2,533493615,"mg",2133974.46
"234","D01BA02",2017,"AC",3,489854040,"mg",1959416.16
"235","D01BA02",2017,"AC",4,437509615,"mg",1750038.46
"236","D01BA02",2017,"HC",1,1896022.5,"mg",7584.09
"237","D01BA02",2017,"HC",2,2100295,"mg",8401.18
"238","D01BA02",2017,"HC",3,2258865,"mg",9035.46
"239","D01BA02",2017,"HC",4,2018737.5,"mg",8074.95
"240","D01BA02",2018,"AC",1,440223650,"mg",1760894.6
"241","D01BA02",2018,"AC",2,513310532.5,"mg",2053242.13
"242","D01BA02",2018,"AC",3,493970800,"mg",1975883.2
"243","D01BA02",2018,"AC",4,442213350,"mg",1768853.4
"244","D01BA02",2018,"HC",1,1930867.5,"mg",7723.47
"245","D01BA02",2018,"HC",2,2091205,"mg",8364.82
"246","D01BA02",2018,"HC",3,2011162.5,"mg",8044.65
"247","D01BA02",2018,"HC",4,1958642.5,"mg",7834.57
"248","D01BA02",2019,"AC",1,435243340,"mg",1740973.36
"249","D01BA02",2019,"AC",2,498572107.5,"mg",1994288.43
"250","D01BA02",2019,"AC",3,490463070,"mg",1961852.28
"251","D01BA02",2019,"AC",4,436495487.5,"mg",1745981.95
"252","D01BA02",2019,"HC",1,1509507.5,"mg",6038.03
"253","D01BA02",2019,"HC",2,1416335,"mg",5665.34
"254","D01BA02",2019,"HC",3,1519545,"mg",6078.18
"255","D01BA02",2019,"HC",4,1913752.5,"mg",7655.01
"256","D01BA02",2020,"AC",1,409752455,"mg",1639009.82
