Antibiotic;Country;River/lake;MEC;Ref
Erythromycin;Italy ;Po and Lambro River ;0.016 ;Calamari et al., 2003
Erythromycin;Germany ;River Elbe ;0.040;Weigel et al., 2004
Erythromycin;Germany ;River Elbe ;0.070 ;Weigel et al., 2004
Erythromycin;Spain ;"Ebro River (n=7; downstream WWTPs) ";0.071 ;Gros et al., 2007
Erythromycin;Spain ;Middle and lower Llobregat and Anoia Rivers ;0.030;Muñoz et al., 2009
Erythromycin;Spain ;Middle and lower Llobregat and Anoia Rivers ;0.070;Muñoz et al., 2009
Erythromycin;Spain ;Llobregat, Cardener and Anoia rivers ;0.033;López-Roldán et al., 2010
Erythromycin;Spain ;Llobregat, Cardener and Anoia rivers ;0.112;López-Roldán et al., 2010
Erythromycin;Italy ;Surface water, River Po ;0.009;Zuccato et al., 2010 
Erythromycin;Italy ;Surface water, River Po ;0.010;Zuccato et al., 2010 
Erythromycin;Italy ;Surface water, River Arno ;0.023;Zuccato et al., 2010
Erythromycin;Italy ;Surface water, River Arno ;0.038;Zuccato et al., 2010
Erythromycin;Germany ;River Leine and Baltic Sea ;0.022 ;Nödler et al., 2010
Erythromycin;Germany ;Rhine River ;0.021;Ter Laak et al., 2010
Erythromycin;Germany ;Rhine River ;0.110;Ter Laak et al., 2010
Erythromycin;Spain ;Llobregat River ;0.119;López-Roldán et al., 2010
Erythromycin;Spain ;Llobregat River ;0.175;López-Serna et al., 2010 
Erythromycin;France ;Seine River ;0.004 ;Tuc Dinh et al., 2011
Erythromycin;France ;Prédecelle River, downstream WWTP ;0.004 ;Tuc Dinh et al., 2011
Erythromycin;France ;Charmoise River, downstream WWTP ;0.131 ;Tuc Dinh et al., 2011
Erythromycin;Spain ;Ebro River ;0.052;López-Serna et al., 2011 
Erythromycin;Spain ;Surface water in Castellon and Valencia provinces ;0.078;Gracia-Lor et al., 2011
Erythromycin;Spain ;Ebro River ;0.042;Silva et al., 2011
Erythromycin;Spain ;Jarama, Manzanares, Guadarrama, Henares, and Tagus Rivers ;3.8;Valcárcel et al., 2011
Erythromycin;Netherlands ;Rhine and Meuse River ;0.010;de Jongh et al., 2012
Erythromycin;Netherlands ;Rhine and Meuse River ;0.035 ;de Jongh et al., 2012
Erythromycin;Spain ;Llobregat River ;0.362;Osorio et al., 2012
Erythromycin;Spain ;Llobregat River ;0.040;Boleda et al., 2013
Erythromycin;Spain ;El Albujón River ;0.065;Moreno-González et al., 2014
Erythromycin;Romania ;Prahova, Timis, Danube, Siret, Prut, and Jijia Rivers ;0.025 ;Chi?escu and Nicolau, 2014
Erythromycin;Portugal ;River Tagus and Zezere (Lisbon) ;0.031;de Jesus Gaffney et al., 2015
Erythromycin;Spain ;Surface waters in Castellón ;0.010;Boix et al., 2015
Erythromycin;Spain ;Mar Menor lagoon (SE Spain, Murcia) ;0.078;Moreno-González et al., 2015 
Erythromycin;Spain ;Llobregat, Ebro, Júcar, and Guadalquivir Rivers ;0.019;Osorio et al., 2016
;;;;
